Ion;Coordination number;Crystal radius;Effective ionic radius
Sr+2;10;1.50;1.36
Sr+2;12;1.58;1.44
Ta+3;6;0.86;0.72
Ta+4;6;0.82;0.68
Ta+5;6;0.78;0.64
Ta+5;7;0.83;0.69
Ta+5;8;0.88;0.74
Tb+3;6;1.063;0.923
Tb+3;7;1.12;0.98
Tb+3;8;1.180;1.040
Tb+3;9;1.235;1.095
Tb+4;6;0.90;0.76
Tb+4;8;1.02;0.88
Tc+4;6;0.785;0.645
Tc+5;6;0.74;0.60
Tc+7;4;0.51;0.37
Tc+7;6;0.70;0.56
Te-2;6;2.07;2.21
Te+4;3;0.66;0.52
Te+4;4;0.80;0.66
Te+4;6;1.11;0.97
Te+6;4;0.57;0.43
Te+6;6;0.70;0.56
Th+4;6;1.08;0.94
Th+4;8;1.19;1.05
Th+4;9;1.23;1.09
Th+4;10;1.27;1.13
Th+4;11;1.32;1.18
Th+4;12;1.35;1.21
Ti+2;6;1.00;0.86
Ti+3;6;0.810;0.670
Ti+4;4;0.56;0.42
Ti+4;5;0.65;0.51
Ti+4;6;0.745;0.605
Ti+4;8;0.88;0.74
Tl+;6;1.64;1.50
Tl+;8;1.73;1.59
Tl+;12;1.84;1.70
Tl+3;4;0.89;0.75
Tl+3;6;1.025;0.885
Tl+3;8;1.12;0.98
Tm+2;6;1.17;1.03
Tm+2;7;1.23;1.09
Tm+3;6;1.020;0.880
Tm+3;8;1.134;0.994
Tm+3;9;1.192;1.052
U+3;6;1.165;1.025
U+4;6;1.03;0.89
U+4;7;1.09;0.95
U+4;8;1.14;1.00
U+4;9;1.19;1.05
U+4;12;1.31;1.17
U+5;6;0.90;0.76
U+5;7;0.98;0.84
U+6;2;0.59;0.45
U+6;4;0.66;0.52
U+6;6;0.87;0.73
U+6;7;0.95;0.81
U+6;8;1.00;0.86
V+2;6;0.93;0.79
V+3;6;0.780;0.640
V+4;5;0.67;0.53
V+4;6;0.72;0.58
V+4;8;0.86;0.72
V+5;4;0.495;0.355
V+5;5;0.60;0.46
V+5;6;0.68;0.54
W+4;6;0.80;0.66
W+5;6;0.76;0.62
W+6;4;0.56;0.42
W+6;5;0.65;0.51
W+6;6;0.74;0.60
Xe+8;4;0.54;0.40
Xe+8;6;0.62;0.48
Y+3;6;1.040;0.900
Y+3;7;1.10;0.96
Y+3;8;1.159;1.019
Y+3;9;1.215;1.075
Yb+2;6;1.16;1.02
Yb+2;7;1.22;1.08
Yb+2;8;1.28;1.14
Yb+3;6;1.008;0.868
Yb+3;7;1.065;0.925
Yb+3;8;1.125;0.985
Yb+3;9;1.182;1.042
Zn+2;4;0.74;0.60
Zn+2;5;0.82;0.68
Zn+2;6;0.880;0.740
Zn+2;8;1.04;0.90
Zr+4;4;0.73;0.59
Zr+4;5;0.80;0.66
Zr+4;6;0.86;72
Zr+4;7;0.92;0.78
Zr+4;8;0.98;0.84
Zr+4;9;1.03;0.89
